iter	Passed	Remaining
554	4750	8088
555	4761	8084
556	4773	8081
557	4785	8079
558	4794	8071
559	4802	8061
560	4812	8055
561	4820	8045
562	4830	8038
563	4837	8028
564	4847	8021
565	4855	8012
566	4864	8005
567	4872	7995
568	4881	7987
569	4890	7979
570	4899	7970
571	4908	7963
572	4916	7953
573	4925	7946
574	4933	7936
575	4942	7928
576	4950	7919
577	4959	7911
578	4967	7901
579	4975	7892
580	4984	7883
581	4995	7880
582	5007	7875
583	5015	7866
584	5025	7859
585	5033	7851
586	5042	7842
587	5052	7836
588	5061	7828
589	5072	7823
590	5080	7813
591	5091	7808
592	5099	7799
593	5110	7794
594	5118	7785
595	5130	7782
596	5140	7774
597	5151	7770
598	5160	7761
599	5170	7755
600	5179	7747
601	5189	7740
602	5199	7734
603	5208	7725
604	5218	7719
605	5226	7710
606	5234	7701
607	5242	7691
608	5251	7683
609	5262	7677
610	5271	7670
611	5282	7665
612	5291	7656
613	5302	7651
614	5310	7641
615	5321	7636
616	5329	7627
617	5340	7621
618	5349	7614
619	5359	7607
620	5368	7599
621	5379	7594
622	5388	7585
623	5399	7580
624	5408	7571
625	5417	7564
626	5427	7556
627	5435	7547
628	5446	7542
629	5455	7533
630	5465	7526
631	5472	7516
632	5483	7509
633	5492	7501
634	5503	7496
635	5511	7487
636	5521	7480
637	5531	7473
638	5539	7463
639	5550	7458
640	5559	7449
641	5567	7440
642	5575	7431
643	5583	7421
644	5591	7412
645	5599	7402
646	5607	7392
647	5614	7381
648	5624	7374
649	5633	7367
650	5642	7358
651	5650	7349
652	5660	7342
653	5669	7333
654	5679	7327
655	5689	7319
656	5698	7311
657	5707	7304
658	5717	7295
659	5727	7289
660	5735	7280
661	5748	7276
662	5760	7272
663	5770	7264
664	5779	7257
665	5788	7248
666	5796	7239
667	5805	7231
668	5814	7222
669	5824	7214
670	5832	7205
671	5841	7198
672	5851	7189
673	5859	7180
674	5868	7173
675	5878	7165
676	5886	7156
677	5897	7150
678	5910	7146
679	5922	7141
680	5935	7138
681	5945	7131
682	5955	7124
683	5966	7117
684	5975	7110
685	5986	7103
686	5995	7094
687	6004	7087
688	6012	7077
689	6023	7070
690	6031	7061
691	6040	7053
692	6049	7044
693	6059	7037
694	6067	7027
695	6076	7019
696	6085	7010
697	6093	7001
698	6102	6993
699	6111	6984
700	6119	6974
701	6126	6964
702	6134	6954
703	6142	6945
704	6150	6936
705	6159	6926
706	6167	6917
707	6174	6907
708	6182	6897
709	6191	6888
710	6198	6878
711	6206	6869
712	6213	6858
713	6222	6849
714	6230	6840
715	6238	6831
716	6246	6821
717	6254	6812
718	6262	6802
719	6270	6793
720	6278	6783
721	6287	6774
722	6295	6765
723	6304	6757
724	6313	6748
725	6321	6739
726	6330	6730
727	6338	6721
728	6346	6711
729	6354	6702
730	6361	6692
731	6370	6684
732	6378	6674
733	6387	6665
734	6395	6656
735	6403	6646
736	6411	6637
737	6418	6627
738	6425	6617
739	6434	6608
740	6442	6598
741	6450	6589
742	6458	6580
743	6466	6570
744	6473	6560
